"","FisYear","tick","overall_score","econ_score","envrn_score","corpgov_score","social_score","OrgName","PrimExchg","return","Score","ControversiesScore","ResourceUseScore","EmissionsScore","InnovationScore","WorkforceScore","HumanRightsScore","CommunityScore","ProductRespScore","ManagementScore","ShareholdersScore","CSRStrategyScore"
"1",2010,"A",0.957583,0.941894,0.912711,0.854843,0.961501,"Agilent Technologies Inc","NYSE",-0.156891045903032,0.7508965732,1,0.7325581395,0.9634146341,0.5,0.9202898551,0.8571428571,0.8043478261,0.9166666667,0.5763819095,0.5613065327,0.76
"2",2010,"AAPL",0.721649,0.486115,0.920116,0.761232,0.401148,"Apple Inc","NASD",0.255580204271688,0.5992762037,0.0277777778,0.9375,0.5875,0.4166666667,0.4673913043,0.9482758621,0.7222222222,0.05,0.5733668342,0.9130653266,0.597
"3",2010,"ABT",0.95029,0.846367,0.907452,0.917919,0.925798,"Abbott Laboratories","NYSE",0.21776179772725,0.8189187387,0.0277777778,0.8953488372,0.743902439,0,0.9782608696,0.9285714286,0.9782608696,0.9166666667,0.7301507538,0.9170854271,0.892
"4",2010,"ADBE",0.76735,0.709816,0.555101,0.804541,0.637389,"Adobe Inc","NASD",-0.0815464885787366,0.5304071834,0.25,0.6379310345,0.8493975904,0.2076923077,0.7464285714,0,0.9607142857,0.2477876106,0.5773869347,0.2929648241,0.464
"5",2010,"ADI",0.953029,0.914637,0.897376,0.87504,0.936976,"Analog Devices Inc.","NASD",-0.0241347701524113,0.7450953945,0.8947368421,0.7666666667,0.7608695652,0.9393939394,0.8440860215,0.8636363636,0.8076923077,0.869047619,0.4236180905,0.7633165829,0.258
"6",2010,"ADM",0.927697,0.744378,0.931414,0.910858,0.82759,"Archer-Daniels-Midland Co","NYSE",-0.0290712578509875,0.599465487,0.8928571429,0.5166666667,0.5055555556,0.9433962264,0.4490740741,0.6770833333,0.7592592593,0.455,0.7854271357,0.6567839196,0.341
"7",2010,"ADSK",0.933873,0.933491,0.902907,0.943932,0.678974,"Autodesk Inc.","NASD",-0.206020963193169,0.6808131984,1,0.6954022989,0.8855421687,0.7384615385,0.8321428571,0,0.8107142857,0.2477876106,0.948241206,0.3844221106,0.597
"8",2010,"AEE",0.821186,0.513016,0.730774,0.957384,0.689867,"Ameren Corp","NYSE",0.23888825137575,0.4554788966,1,0.2407407407,0.55,0.5526315789,0.3064516129,0,0.7903225806,0.6206896552,0.4658291457,0.851758794,0.597
"9",2010,"AEP",0.888935,0.905315,0.695198,0.947386,0.63533,"American Electric Power Company Inc","NASD",0.207171680246953,0.7091028276,0.875,0.9254385965,0.7291666667,0.5,0.692,0,0.924,0.5643564356,0.8195979899,0.8206030151,0.921
"10",2010,"AES",0.418742,0.286503,0.189667,0.802149,0.520619,"AES Corp","NYSE",-0.0279146779965976,0.3371860251,1,0.0043859649,0.4125,0,0.236,0,0.388,0.1336633663,0.9020100503,0.9693467337,0.118
"11",2010,"AFL",0.843157,0.949873,0.562863,0.772916,0.690452,"AFLAC Incorporated","NYSE",-0.212939662370776,0.5407193975,0.8870967742,0.755952381,0.7010869565,0,0.9479166667,0,0.9097222222,0.7318181818,0.3753768844,0.4829145729,0.464
"12",2010,"AIG",0.141091,0.097083,0.164811,0.600019,0.092161,"American International Group Inc","NYSE",-0.514589333209296,0.3192797791,0.0161290323,0,0.2554347826,0,0.0798611111,0,0.3402777778,0.3363636364,0.5331658291,0.8879396985,0.118
"13",2010,"AJG",0.465288,0.699799,0.112957,0.757673,0.343052,"Arthur J Gallagher & Co","NYSE",0.20257493546436,0.4754660804,1,0,0,0,0.5798611111,0,0.6840277778,0,0.9090452261,0.7100502513,0
"14",2010,"AKAM",0.35582,0.592053,0.146312,0.672304,0.228543,"Akamai Technologies Inc.","NASD",-0.313921366927128,0.3158663531,1,0,0.2831325301,0.2076923077,0.3892857143,0,0.9035714286,0.2477876106,0.0567839196,0.8115577889,0.118
"15",2010,"ALB",0.941074,0.893349,0.876911,0.943101,0.802811,"Albemarle Corporation","NYSE",-0.064771456662585,0.6205930237,0.4230769231,0.6043478261,0.5170940171,0.595,0.5152671756,0.4016393443,0.86328125,0.8026315789,0.756281407,0.7381909548,0.76
"16",2010,"ALL",0.878448,0.449693,0.870181,0.942002,0.869299,"Allstate Corp","NYSE",-0.11359377382736,0.763211408,0.7096774194,0.8511904762,0.7554347826,0.5465116279,0.8645833333,0,0.9548611111,0.8,0.9522613065,0.6427135678,0.597
"17",2010,"AMAT",0.964797,0.980775,0.949869,0.929532,0.894254,"Applied Materials Inc.","NASD",-0.218704461799125,0.7478829806,1,0.8866666667,0.8768115942,0.8333333333,0.6827956989,0.1060606061,0.9505494505,0.9583333333,0.908040201,0.7894472362,0.892
"18",2010,"AMD",0.950483,0.834269,0.93619,0.886847,0.942053,"Advanced Micro Devices Inc.","NASD",-0.339853300733496,0.6746149044,0.5,0.94,0.9057971014,0.4166666667,0.9086021505,0.2575757576,0.9945054945,0.869047619,0.4728643216,0.9271356784,0.76
